项目,主题,问题类型,优先级,描述
新公司业务管理系统_内部,日常监管中，候选董秘监管复核不可以进行意见输入,开发代码缺陷,高,"1.上市公司提交候选董秘后
2.初审进行审核，审核通过后，可以进行意见输入
3.流转到监管复核，监管复核不能进行意见输入"
新公司业务管理系统_内部,错发回收，上市公司提交候选董秘后，进行错发回收，上市公司再次提交，可以看到发送人（内部人员）,,高,"1.上市公司登录系统-》资料填报-》新建候选董秘
2.提交申请，在辅助功能-》错发回收
3.回收成功后
4.上市公司重新提交申请，可以看到上市公司的审核人《-问题
5.预期是应该看不到内部人员"
新公司业务管理系统_内部,发布人登记部、上市公司监管一部信息与备注框不一齐,开发代码缺陷,低,可转债兑息通知单、可转债兑付通知单、可转债赎回通知单、证券摘牌通知单、公司债券利率调整通知初审添加页面：发布人登记部、上市公司监管一部信息与备注框不一齐
新公司业务管理系统_内部,监管复核登陆查看通知单，字段“备注”对应的输入域没有外边框,开发代码缺陷,低,监管复核登陆查看通知单，字段“备注”对应的输入域没有外边框
新公司业务管理系统_内部,上市公司监管一部下 字段“初审，复核，日期”与后面数据距离不一致,开发代码缺陷,低,上市公司监管一部下 字段“初审，复核，日期”与后面数据距离不一致
新公司业务管理系统_内部,可转债/公司债回售结果通知单初审打印页面缺少“注”信息,开发代码缺陷,低,可转债/公司债回售结果通知单初审打印页面缺少“注”信息
新公司业务管理系统_内部,可转换公司债券转股通知单初审打印页面：“公告日期”字段错写成“公告日”,开发代码缺陷,低,可转换公司债券转股通知单初审打印页面：“公告日期”字段错写成“公告日”
新公司业务管理系统_内部,可转换公司债券转股通知单上市公司页面：字段“自愿转股期间”后面有两个单元格,开发代码缺陷,低,可转换公司债券转股通知单上市公司页面：字段“自愿转股期间”后面有两个单元格
新公司业务管理系统_内部,可转债上市通知单初审制单、打印页面缺少“注”信息,开发代码缺陷,低,可转债上市通知单初审制单、打印页面缺少“注”信息
新公司业务管理系统_内部,可转债发行通知单初审打印页面中：字段“配号代码”与字段“申购款简称”位置反了,开发代码缺陷,低,可转债发行通知单初审打印页面中：字段“配号代码”与字段“申购款简称”位置反了.
新公司业务管理系统_内部,信息披露托管中，直管复核设置副组长设置和复核托管初审设置中，在角色列表中有操作复核的角色,开发代码缺陷,高,"1.直管复核登录系统-》辅助功能-》副组长设置
2.在副组长设置的角色列表中操作复核的角色
3.在直管复核托管初审功能中
4.在这个角色的功能列表中有操作复核的角色
5.预期结果：没有操作复核的角色
5.直管复核设置副组长成功后，在直管复核托管初审的列表里，副组长还是可以被托管
6.预期结果：副组长不可以被托管"
新公司业务管理系统_内部,事前-夜间-直管流程 直管复核审核通过，流程至上市公司未提交至操作复核，操作复核不应该有取消复核的权限,需求变更,高,"1.事后-夜间-直管流程 直管复核审核通过，流程至上市公司未提交至操作复核
2.操作复核查看该申请单，申请单界面不应该有取消复核的权限
实际结果：操作复核申请单界面存在取消复核按钮
注：跟业务老师确认，该流程操作复核不能取消复核，导致整个流程都无法取消复核，所以业务提出，允许直管复核取消复核"
新公司业务管理系统_内部,事后-初审-抄送初审 初审给出审核意见并未提交至上市公司，上市公司可以看到初审的审核意见,需求描述不明确,普通,"
1.事后-初审-操作复核，抄送监管复核流程
2.抄送监管复核，抄送至初审，初审查看公告给出审核意见，未反馈上市公司
3.上市公司查看公告审核意见
预期结果：上市公司无法查看抄送流程 初审给出的审核意见
实际结果：上市公司可以查看抄送流程 初审给出的审核意见"
新公司业务管理系统_内部,事后-上市公司撤销，再次提交，原操作复核标记的紧急与意见未清除,需求描述不明确,高,"1.事后-上市提交至下一角色，操作复核标记紧急、有操作、意见
2.上市公司撤销成功后，再次提交下一角色
3.下一角色查看代办列表是否被标记紧急，公告界面标记意见是否展示，操作复核标记页签，审核意见是否清除

预期结果：下一角色查看代办未标记紧急，公告标记意见不展示，操作复核标记意见不展示

实际结果：下一角色查看代办标记紧急，公告标记意见展示，操作复核标记意见展示"
新公司业务管理系统_内部,暂恢终-5当不满足触发条件时，依然弹出提醒,,高,
新公司业务管理系统_内部,监管措施-意向书-初审发起，监管复核审核通过后，流程状态显示“纪律处分小组审核中”；,开发代码缺陷,高,"流程:初审-监管复核-纪律处分小组-分管领导-分管法务领导-部门领导-拟稿人-上市公司-初审
1、初审登录系统-监管工作-监管日志-发起监管措施-意向书流程；
2、发送给监管复核；
3、监管复核审核通过；
预期结果：状态为：监管复核通过；
实际结果：查看函件状态：纪律处分小组审核中"
新公司业务管理系统_内部,事前-夜间-监管复核取消复核，再次审核通过，操作复核办结，查阅当日未完成事前公告列表该申请单仍然存在,开发代码缺陷,高,"1.事前-夜间-流程走至监管复核取消复核，再次审核通过直至操作复核办结
2.查阅当日未完成事前公告列表是否存在该申请单
预期结果：该申请单不存在查阅当日未完成事前公告列表
实际结果：申请单依然存在该列表

20150954 赵彤 dxwang kwang"
新公司业务管理系统_内部,27号通知单——上市股票撤销退市风险警示及实施其他风险警示通知,设计优化,普通,"备注信息表格长度与上面列表不一致；
通知单名称不在表格上方居中显示，偏右"
新公司业务管理系统_内部,23-30号申请单存在同一问题：上市公司监管一部、初审、复核日期控件向右偏,设计优化,普通,"最下方：
上市公司监管一部、初审、复核日期控件向右偏"
新公司业务管理系统_内部,31号申请单：如因吸收合并导致股票终止上市，请填写收购方沪市A股代码：（这里是textbox），代码应为数字，但是输入汉字也可以提交,设计优化,普通,"接通知后，请协助做好该股票终止上市的准备工作和摘牌等后续工作。 
1.如因吸收合并导致股票终止上市，请填写收购方沪市A股代码： （这里是textbox），代码应为数字，但是输入汉字也可以提交
 
"
新公司业务管理系统_内部,通知单补改删，补单时，关联公告选择“是”，不选择公告仍可以提交,开发需求理解错误,高,"发起人发起补单
关联公告选择“是”，
弹出公告关联界面后关闭，其余必填项正常填写
发起人可以正常提交
与预期中选择“是”后不选择公告就不能提交不符"
新公司业务管理系统_内部,初审-公告审核通过，申请单未提交，初审不可以关联业务通知单和取消关联业务通知单,开发代码缺陷,普通,初审-公告审核通过，申请单未提交，初审不可以关联业务通知单和取消关联业务通知单
新公司业务管理系统_内部,通知单补改删，改单，删单的添加通知单界面无公司筛选功能,设计优化,高,"发起人发起改单或删单功能时
选择添加通知单时无公司筛选功能，不方便使用
建议增加筛选功能"
新公司业务管理系统_内部,通知单补改删，当下一节点退回通知单时，提交时无校验,设计优化,普通,"通知单补改删中，
若申请模式为上市公司发起时
初审审核不通过
上市公司处无需再次确认补单，便可提交
建议增加确认的校验"
新公司业务管理系统_内部,业务预警-股东大会-4，提交0305公告，披露日拒股东大会召开日小于2个交易日时，上市公司，初审，监管复核，管理员均无提醒；,开发代码缺陷,高,"1.上市公司登陆系统-信息披露-新建申请单；
2.添加公告，选择公告类别“03股东大会-0305股东大会取消”
3、添加xbrl文件，公告类型分别为
年度，
临时；
4、上市公司提交提交申请单，检验是否有预警信息；
5、初审、监管复核、管理员分别登录系统-首页，点击业务预警，检验是否有提醒信息；

预期结果：相应用户收到提醒消息，消息内容为：
公司代码/公司简称：股东大会延期/股东大会取消/取消股东大会提案公告的披露日距股东大会召开日小于2个交易日，不符合股东大会规则的有关规定。

实际结果：上市公司、初审、监管复核、管理员均无预警信息"
新公司业务管理系统_内部,上市公司关联申请单，关联业务申请表单界面的 checkbox 无法取消选择，无法多选，选择记录关联无法关联,开发代码缺陷,高,"1.上市公司关联申请单，关联业务申请表单界面的 checkbox 无法取消选择
2.checkbox 无法全选，选择记录关联提示关联失败，记录已经显示关联申请单列表
3.关联后，无法取消关联，请加上取消关联
"
新公司业务管理系统_内部,"风险警示4,5中，在日期界面是默认日期，没有填写日期，显示的是确认成功",,高,"1.风险警示4,5中，在日期界面是在日期界面是默认日期，
2.没有填写日期，
3.点击提交，显示的是确认成功"
新公司业务管理系统_内部,可转债5，没有提交连续停牌申请，不会弹出业务预警，申请可以提交,开发代码缺陷,高,"1.上市公司提交1908公告申请，
2.没有提交连续停牌申请
3.还是会弹处预警"
新公司业务管理系统_内部,保存功能，界面改动，多次保存时出错,其他,高,"在申请界面改动，多次保存时会出错
比如说停牌界面，先勾选A股，点击保存，提交预警信息正确
点击取消，取消提交
再勾选转股代码
点击保存，显示保存成功
点击关闭，退出申请界面
再次进入，仍选择A股
"
新公司业务管理系统_内部,事前白天-取消复核后-再次提交审核通过，申请单状态不正确，导致上市公司信息披露列表生成两条一模一样的申请单,开发代码缺陷,高,"事前-白天-初审（申请单号：20150799 上市公司：600777 初审：赵彤 操作复核：王可 监管复核：王东勋）
1.流程走至监管复核、操作复核
2.操作复核先审核通过，监管复核后审核通过
3.监管复核取消复核，申请单退回初审
4.初审再次提交至监管复核、操作复核
5.监管复核先审核通过，操作复核后审核通过
6.监管复核、操作复核查看申请单状态 能否取消复核
6.上市公司登陆。查看该申请单条数
预期结果：监管复核、操作复核查看申请单状态为""审核通过""，操作复核、监管复核可以取消复核，上市公司待办只存在一条申请单
实际结果：监管复核、操作复核查看申请单状态为""监管复核中，操作复核通过""，操作复核、监管复核不可以取消复核，上市公司待办存两条申请单
"
新公司业务管理系统_内部,"定期报告2,3,4,5 上市公司的公告处于待修改状态时，再次提交无相关预警",开发遗漏需求,高,"格力地产（600185）年报处于待修改状态时
修改后（条件满足定期报,2,3,4,5）再次提交时
无预警弹出
其直管复核处可以看到预警
按预期
应该提交时和内部检查时都能看到预警"
新公司业务管理系统_内部,代办状态时，被代办人无法看到代办人分管公司的业务预警,开发遗漏需求,高,"韩大勇（直管复核）代办给了施金晶（直管复核）
韩大勇分管的上市公司：格力地产（600185）在待修改状态时提交了一个年报
韩大勇处可以看到预警
施金晶处不行
按预期，施应该是能看到预警的"
新公司业务管理系统_内部,再融资-2：连续停牌与配股实施业务申请中，起始日为股权登记日下一交易日，终止日为缴款终止日下一交易日时申请不能提交,开发代码缺陷,高,连续停牌与配股实施业务申请中，起始日为股权登记日下一交易日，终止日为缴款终止日下一交易日时申请不能提交，仍然会出现提示信息
新公司业务管理系统_内部,再融资-5：添加“定价增发股票发行业务申请表”时，申请单提交时“校验失败”,开发代码缺陷,高,在申请单上添加公告，公告上添加“定价增发股票发行业务申请表”，提交申请单时出现“校验失败”
新公司业务管理系统_内部,通用9，初审可以看到其他初审分管公司的预警,开发代码缺陷,高,登陆方建菁（初审），可以看到浪莎股份（600137），肖谊（初审）分管下的预警9
新公司业务管理系统_内部,"定期报告6,7,8,9，在披露截止日的最后一天，系统中存在已提交的定期报告，仍报出预警",需求变更,高,"当前系统中：在截止日当天，若系统检测到规定披露日期范围外披露的定期报告，仍会报出预警
确认后，需求中要求，只要在系统中存在已提交的对应定期报告，就不报出预警
比如说：在8月31日披露9月1日发布的半年报（披露期为：8月）后，
应该无相关的定期7的预警弹出"
新公司业务管理系统_内部,关联历史公告，添加历史公告界面，数据加载过慢，且列明通知日期请改成“披露日期”,需求变更,高,"问题1：
3001公告-关联历史公告，添加历史公告界面，数据加载过慢
问题2：
添加历史公告界面，列名""通知日期""请改成“披露日期”"
新公司业务管理系统_内部,"定期报告1,2，预警内容与需求有出入",开发遗漏需求,普通,"需求中为：公司代码/公司简称：定期报告实际披露日期与预约披露日期不符，_报表年度/报告类型_，预约披露日期：_YYYY-MM-DD_。
实际系统中为：公司代码/公司简称：定期报告实际披露日期与预约披露日期不符，报表类型：_报告类型_，预约披露日期：_YYYY-MM-DD_。

需求中为：公司代码/公司简称：公司预约于预计披露日期_YYYY-MM-DD_披露_报表年度/报表类型_，但系统未发现相应的定期报告记录，请核实。
实际系统中为：公司代码/公司简称：公司预约于预计披露日期_YYYY-MM-DD_披露报表类型：_报表类型_，但系统未发现相应的定期报告记录，请核实。
"
新公司业务管理系统_内部,暂恢终-7上市公司端不可用（见附件）,,高,符合条件时，上市公司端无预警；
新公司业务管理系统_内部,系统存在仅有开始日期的独立停牌申请表时，暂恢终-4依然触发,,高,上市公司、内部用户都提醒
新公司业务管理系统_内部,业务预警-定期报告1，上市公司年报属于审核中状态时，弹出预警,开发代码缺陷,高,"上市公司预计30披露的年报在29日提交（30日披露）时
年报流转至监管复核和操作复核处
内部检查出定期报告1的预警
实际不应检查出预警"
新公司业务管理系统_内部,业务预警——股份上市-2：上市日距披露日正好等于两个交易日内部人员没有出现预警信息,,普通,"1、股票上市申请表中：上市日距披露日正好等于两个交易日，内部人员业务预警列表应该出现该条预警；
2、初审确认并制单时应该会出现相应的提示信息"
新公司业务管理系统_内部,初审增加的补单已经办结，上市公告关联业务申请表，关联列表无数据可关联,开发代码缺陷,高,"1.初审（赵彤）内部补改删，添加补单，内部发起，上市公司为“600054”，未关联公告，提交到操作复核审核通过
2.600054上市公司，添加申请单，添加公告，关联业务申请表

预期：关联业务申请表列表存在初审新增的审核通过的补单
实际结果：关联业务申请表列表无补单数据可关联"
新公司业务管理系统_内部,业务预警——其他2：业务预警的提示内容与需求不一致,UI问题,普通,"业务预警的提示内容与需求不一致，应该为“公司代码/公司简称：提交的公告未能进入公告签收单。”
目前系统中显示如下图所示：
!其他2!"
新公司业务管理系统_内部,通用2，通用7，当审核状态为待修改状态时，内部检查无相关预警,开发需求理解错误,高,"上市公司当天（包含昨日夜间）提交的事前审核公告
处于待修改状态
内部人员应收到通用2的预警
实际系统中未收到

上市公司当天提交的独立停牌申请
处于待修改状态
内部人员应可以检测到通用7的预警
实际系统中未收到"
新公司业务管理系统_内部,代码分配中，直管复核新建申请保存关闭后，在代码分配申请列表页没有该条申请，且不能删除和修改,开发代码缺陷,高,"1.直管复核新建代码分配申请
2.新建申请保存，关闭后
3.在代码分配申请列表页没有该条申请，且不能进行删除和修改的操作
4.初审可以"
新公司业务管理系统_内部,无效停牌信息对预警的影响造成错误,,高,"1.提交仅有开始日期的独立停牌连续停牌申请，再提交2902公告，然后将独立停牌错发回收
2.提交其他公告同时添加停复牌信息：仅有开始日期的连续停牌，错发回收，再新建含有2902公告的，此时不应提交成功"
新公司业务管理系统_内部,事前-白天-初审-监管复核、操作复核审核通过，上市公司未确认发布，监管复核公告界面无取消复核按钮,开发代码缺陷,高,"上市公司：600054 初审 赵彤 监管复核：王东勋  申请单编号：20150669

1.事前-白天-初审-监管复核、操作复核审核通过
2.上市公司未确认发布
3.监管复核公告界面是否有取消复核按钮

预期结果：监管复核公告界面有取消复核按钮

实际结果：监管复核公告界面无取消复核按钮

"
新公司业务管理系统_内部,业务预警——异常波动-4：type000003对应的值为0应该出现预警,,普通,type000003对应的值为0，且日期为当天时应该出现预警
新公司业务管理系统_内部,学徒公告详情界面不齐、抄送初审，初审公告详情界面排版不齐，抄送初审，初审不能添加通知单，目前可以添加,开发代码缺陷,普通,"问题1：学徒公告详情界面不齐:
问题2：抄送初审，初审公告详情界面排版不齐:
问题3：抄送初审，初审不能添加通知单，目前可以添加
问题4：上市公司查看公告界面，“关联业务通知单”请改成“关联业务申请表”"
新公司业务管理系统_内部,暂恢终-5预警不可用,,高,提交2019公告，满足条件时，不弹出预警信息。
新公司业务管理系统_内部,事后-初审 抄送流程走至上市公司，主流程操作复核审核通过后取消复核，再次审核通过，上市公司申请单界面无接收意见按钮,开发代码缺陷,高,"事后-初审 
1.上市公司-初审-操作复核、抄送监管复核
2.抄送流程走至上市公司
3.主流程操作复核审核通过后取消复核，再次审核通过
4.上市公司申请单界面无接收意见按钮"
新公司业务管理系统_内部,暂恢终-1预警不满足条件（三）时，上市公司和内部用户依然弹出预警信息（见附件）,,高,在公告披露日（含）后的首个交易日公司股票处于交易状态，且发现仅有开始日期的连续停牌申请表，上市公司提交2902公告时，仍弹出提醒。
新公司业务管理系统_内部,事后-初审-流程  初审提交至操作复核，抄送流程走至上市公司，导致上市公司代办栏展示两条一样的数据,开发代码缺陷,高,"事后-初审-流程  初审提交至操作复核，抄送流程走至上市公司，导致上市公司近期信息披露栏展示两条一样的数据，有一条状态为“审核中”另一条审核状态为“审核意见反馈”

"
新公司业务管理系统_内部,监管措施-意向书流程，各节点发表意见，函件详情页不能显示全部审核意见,开发代码缺陷,普通,"流程：初审-监管复核-纪律处分小组-分管领导-分管法务领导-部门领导-拟稿人-上市公司；
1、初审（赵彤）登录系统-监管工作-监管日志-监管日志详情页-新建监管措施意向书流程，发送监管复核；
2、监管复核登录系统-函件处理，输入审核意见并通过审核，发送纪律处分小组；
3、流程节点办理人同2操作；
4、各个节点办理人查看函件详情页-审核意见"
新公司业务管理系统_内部,暂恢终-1预警不满足条件（一）时，上市公司和内部用户依然弹出预警信息（见附件）,,高,上市公司在公告披露日（含）后的首个交易日股票处于交易状态，此时提交2902公告，仍弹出业务预警信息
新公司业务管理系统_内部,通知单补改删，选择为股权转让通知单时，发送给的监管复核错误,开发代码缺陷,高,"发起人（初审/文件流转岗）新建一张股权转让通知单
选择的上市公司为格力地产（600185），为韩大勇（直管复核）分管的公司
流程到发送给监管复核时
并没有发送给韩大勇，
而是发送给了洪泳（文件流转岗，分管领导），为韩大勇的直接领导
与需求不符"
新公司业务管理系统_内部,监管措施-意向书流程，初审在监管日志详情页，处理过程-处理结果列不显示函件的审核状态,开发代码缺陷,低,"流程：初审-监管复核-纪律处分小组-分管领导-分管法务领导-部门领导-拟稿人-上市公司
初审（赵彤）登录系统-监管工作-监管日志-新建监管措施-意向书，发起流程；
当：1、监管复核审核通过，
2、纪律处分小组审核不通过，
3、分管法务领导审核（通过/不通过），
4、部门领导审核通过时，
初审初审（赵彤）登录系统-进入监管工作-监管日志-相应日志详情页，查看处理过程部分，鼠标移动到处理结果处可查看"
新公司业务管理系统_内部,业务预警——权益分派-3：可转债状态为“暂停上市”时应该不会出现业务预警,,普通,可转债状态为“暂停上市”时应该不会出现业务预警
新公司业务管理系统_内部,通知单补改删，操作复核审核界面按键顺序建议重新安排,开发需求理解错误,低,"通知单补改删功能，
操作复核审核时，
下方的“流程跟踪”等按键与需求中不同"
新公司业务管理系统_内部,业务预警——权益分派-4：当日不存在已制单的“股红”“股送”通知单时，未出现预警信息,开发代码缺陷,高,当日不存在已制单的“股红”“股送”通知单时，初审可以审核通过，未弹出任何预警信息
新公司业务管理系统_内部,业务预警-权益分派-2：初审确认制单时未添加提醒信息,需求变更,普通,"1、初审修改送股（转增股本）申请表，满足预警触发条件；
2、初审“确认并制单';
——应该弹出提醒信息，且通知单不能确认制单成功"
新公司业务管理系统_内部,权限设置，设置操作领导时建议把公司其他部门的树状图隐去,需求描述不明确,普通,"权限设置界面
设置操作领导时，出现的候选人的部门除了监管一部，二部
还有总经理室等等（无候选人）
建议删去无关部门"
新公司业务管理系统_内部,风险警示2中，检验日期，不管是什么条件都是弹出预警信息是“确认成功”,开发代码缺陷,高,"1.风险警示2中个
2.在实施退市风险申请表中填写日期，不满足条件的情况下都是确认成功
3."
新公司业务管理系统_内部,通知单补改删，关联公告界面和选择通知单界面，功能按键建议改成“确认”和“取消”,开发需求理解错误,低,"现在系统中按键为“关联”，“关闭”
需求中为“确认”，“取消”
建议更改"
新公司业务管理系统_内部,操作复核处有两个通知单补改删入口,其他,低,"现系统操作复核处有两个补改删入口
一个在信息披露栏目下，一个在操作复核栏目下
建议删除后者"
新公司业务管理系统_内部,通知单补改删，删单时，发起人处提交进行制单校验,开发需求理解错误,高,"发起人选择删单功能
提交时，系统进行制单校验，提醒制单/取消制单
与需求中无需制单不同"
新公司业务管理系统_内部,撤销已确认发布未上网公告、生成电子文件、对应公告链接的公告详情页面-初审人展示错误,设计优化,普通,"问题1：操作复核的撤销已确认发布未上网公告、生成电子文件模块、对应公告链接到的公告详情页面-右上角的公告状态下的审核人应该展示“直管复核：段颖”，当前显示“初审：段颖”

问题2：生成电子文件界面导航栏、标题栏展示不正确，请将“生成当日停牌通知单、当日停牌通知单”改成“生成电子文件”"
新公司业务管理系统_内部,通知单补改删，改单，删单流程，选择股权转让通知单流转复核异常,开发代码缺陷,高,"发起人创建改单或删单
按照流程正常传递
传送到复核审核时出错，传送到操作复核处
而需求中为监管复核"
新公司业务管理系统_内部,风险警示3中，当实施其他风险警示表中默认不填日期的情况下，点击确认，显示校验失败,开发代码缺陷,高,"1.风险警示3中
2.当实施其他风险警示表中默认不填日期的情况下，点击确认
3.弹出提醒信息“校验失败”
4.也发生在风险警示4，风险警示5中"
新公司业务管理系统_内部,监管措施-口头警示，直管复核发起流程，发起人和下一节点办理人员在函件列表页均找不到该函件,开发代码缺陷,高,"1、直管复核（张春芳）登录系统，进入监管工作-监管日志-新建监管日志；
2、选择监管措施-口头警示，发起流程，系统提示已发送下一节点（穆涛）
预期结果：直管复核和监管复核可以在监管工作-函件处理-函件处理列表页查找到该函件
实际结果：发起人和下一节点人员在函件列表均找不到该函件，
      发起人在纪律处分和信息查看列表页找不到该函件；"
预警管理_内部,ORC038满足预警条件但未预警,,高,ORC038账户开仓大于门限满足预警条件但未预警，测试数据见截图。
预警管理_内部,ORC026/ORC027/ORC028未平仓合约张数门限均显示门限值,,普通,ORC026、ORC027、ORC028规则预警结果页面门限信息中，未平仓合约张数门限均显示门限值，应该显示实际值
新公司业务管理系统_内部,事后抄送监管复核、公告状态为“审核通过、抄送监管复核中”审核公告无法输入意见,开发代码缺陷,普通,"事后抄送监管复核、公告状态为“审核通过、抄送监管复核中”审核公告，输入意见提示“该申请单已在审核中或者审核通过”
抄送初审，公告状态为“审核通过，抄送初审中”，初审公告详情页无输入意见按钮"
新公司业务管理系统_内部,事后-操作复核审核通过，抄送监管复核审核通过，监管复核不应该有取消复核功能,开发代码缺陷,高,"1.事后-初审-操作复核 抄送监管复核，操作复核审核通过，抄送监管复核办结
2.监管复核查看申请单，申请单界面存在取消复核按钮
问题：抄送流程，监管复核不应该有取消复核功能
"
新公司业务管理系统_内部,业务预警中文件流转岗查询业务预警失败,开发代码缺陷,高,"1.在业务管理员处-》业务预警配置页面-》勾选文件流转岗
2.文件流转岗登录系统-》业务预警
3."
新公司业务管理系统_内部,特转退通知单问题,,普通,"1、通知单中字段：A股代码、A股简称、B股代码、B股简称、撤销其他风险警示实施退市风险警示后A股简称、撤销其他风险警示实施退市风险警示后B股简称没有做长度校验，输入的内容过长时会保存失败；
2、上市公司填写特转退通知单点击“确认”后，再次修改该通知单内容并保存，该通知单应该为“未确认”状态；
3、特转退通知单打印页面有问题，有些字段显示的与需求不一致；如图：
!特转退打印页面.bmp!
4、特转退通知单编号有问题，不连续；如图所示：
!通知单编号.bmp!
5、通知单制单后再修改内容应该要将通知单置为“未制单”状态，需重新制单；"
预警管理_内部,预警规则导出文件中提出者显示空和非衍生品部人员,,普通,web端，规则设置-规则信息查询页面，点击【导出规则】，导出excel提出者显示错误，为空和非衍生品部人员。
新公司业务管理系统_内部,事后审核-上市公司取消复核发送业务提醒，未查看过该申请单的人不应该收到业务提醒,开发代码缺陷,高,"事后审核
1.上市公司确认发布-后续角色未查看该申请
2.上市公司撤销该申请单-未查看过该申请的人员也能查看到关于该申请单撤销的业务提醒"
新公司业务管理系统_内部,事前白天-取消复核后-上市公司仍然能确认发布，取消复核也导致上市公司信息披露列表生成两条一模一样的申请单,开发代码缺陷,高,"事前-白天
1.上市公司提交至操作复核审核通过，申请单变成审核通过
2.操作复核取消复核-申请单退回初审或者直管复核
3.上市公司登陆，代办事项查看该申请单
问题：上市公司查看该申请单为审核中，上市公司可以确认发布
"
新公司业务管理系统_内部,补改删列表中，类别搜索项选项不全,开发遗漏需求,高,"补改删列表中，类别搜索项中应有“补单”，“改单”，“删单”，“补单-急”，“改单-急”，“删单-急”，“全部”
现只有“全部”"
新公司业务管理系统_内部,事前-初审审核通过同时发生监管复核、操作复核，操作复核申请单先审核通过或者不通过，监管复核首页代办列表状态展示不正确,开发代码缺陷,普通,"事前-初审审核通过同时发生监管复核、操作复核，
1.操作复核申请单先审核通过
2.监管复核首页代办列表申请单状态展示“待监管复核中，操作复核通过”，应该展示""监管复核中，操作复核通过""
"
其他_内部,test,,低,
其他_内部,数据库部署时报/home/oracle/v2.6不存在,,紧急,把v2.6.0\oracle目录下的v2.6.tar以二进制上传到/home/oracle目录，并解压tar –xvf v2.6.tar，执行cd /home/oracle/v2.6时报错“ No such file or directory” 
其他_内部,数据库部署时报/home/oracle/v2.6不存在,,高,"把v2.6.0\oracle目录下的v2.6.tar以二进制上传到/home/oracle目录，并解压tar –xvf v2.6.tar，执行cd /home/oracle/v2.6时报错“ No such file or directory
”"
新公司业务管理系统_内部,代码分配中，代码申请把关操作复核角色中代码分配申请列表为空,开发代码缺陷,高,"1.直管复核新建代码分配申请并提交申请至操作复核
2.操作复核登录系统-》信息披露-》代码分配
3.代码分配申请列表为空"
新公司业务管理系统_内部,公告签收单-申请单编号一栏展示的内容是公告流水号,开发代码缺陷,普通,"问题1：公告签收单-申请单编号一栏展示的内容是公告流水号
"
新公司业务管理系统_内部,通知单补改删，改单时，选择通知单为可转债上市通知，未作修改，发起人无法制单,开发代码缺陷,高,"发起人选择改单功能，申请单选择为可转债上市通知
对股票代码和股票简称处未做修改，进行制单
发现股票代码字段数据输入有误，制单无法进行，流程堵死"
新公司业务管理系统_内部,通知单补改删，申请模式为上市公司申请时，上市公司无法打开相关申请单界面，进行填写,开发代码缺陷,紧急,"初审创建补单，申请模式选为由上市公司申请
上市公司收到补单后，打开申请单界面为友情提醒界面
无法进行申请单的填写，流程堵死"
新公司业务管理系统_内部,上市公司持续监管意见中初审到监管复核到分管领导中的状态,设计优化,普通,"1.初审新建上市公司持续监管意见后给监管复核
2.监管复核通过后-》分管领导
3.分管领导的搜索栏的状态是监管复核通过（建议修改为分管领导审核中），审核的状态是监管复核中（建议修改为分管领导审核中）"
新公司业务管理系统_内部,事后-抄送初审，申请单状态多了“审核”二字，抄送走至上市公司，列表申请单状态与申请单详情页状态展示不一致,设计优化,普通,"事后-初审-操作复核、抄送监管
主流程操作复核审核通过，抄送流程走到初审，申请单状态展示“审核通过，抄送初审审核中”，请将审核二字去掉"
新公司业务管理系统_内部,暂缓披露申请：直管复核审核通过后错发回收申请显示的状态不正确,开发代码缺陷,普通,"1、上市公司提交申请发送给直管复核；
2、直管复核审核通过发送给领导；
3、直管复核错发回收申请单，查看申请状态，申请的状态为“监管复核中”，应该为“初审或直管复核中”；
4、领导审核不通过后错发回收，申请状态为“初审或直管复核审核中”，应该为“部门领导审核中”；

"
新公司业务管理系统_内部,公司债3中，到期日前的5个交易日登录系统，内部人员查询不到预警信息,,普通,"1.假设到期日是2015-12-14
2.登录日期是2015-12-07
3.内部人员查询不到预警信息"
新公司业务管理系统_内部,可转债7中，如果在过去的第10个交易日提交1915类别的公告，到期日前20个交易日登录系统，仍然可以查到业务预警,,高,"1.将到期日设置为2016-1-4
2.登录日期是2015-12-7
3.提交1915类别的公告是2015-11-23
4.仍然可以看到提醒。到期日是非交易日也是这样的"
新公司业务管理系统_内部,可转债7中，600271（航天信息）5358查不到相应的业务预警,,普通,"1.将可转债的到期日设置为2016-01-04
2.登录日期设置为2015-12-07
3.在业务管理员内查不到异常信息，上市公司段也看不到预警信息"
新公司业务管理系统_内部,通知单补改删，当前系统直管复核界面无补单，改单，删单键,开发需求理解错误,高,"当监管复核分管公司时，应有补单，改单，删单功能
当前系统中，通知单补改删界面无补单，改单，删单键"
新公司业务管理系统_内部,通知单补改删，监管复核补改删列表无法展示所有流程中的补改删单,开发需求理解错误,高,"当监管复核选择分管公司为全部时
应可以看到所有流程中的补改删单
当前系统中只能查看流程到该监管复核审核的通知单
与需求不符"
新公司业务管理系统_内部,业务预警-股东大会-01，当日>=召开日，状态为“待召开”的股东大会记录，且无召开日起提交的股东大会决议公告，初审和监管复核手动触发检查时没有提醒信息,开发代码缺陷,普通,"1.上市公司登陆系统-信息披露-新建申请单；
2.点击添加公告，选择公告类别为0301股东大会提示；
3.添加xbrl文件，提交申请单；
4.内部人员登陆系统审核并通过该申请单；
5.初审、监管复核点击异常检查，切换至异常页面；
6.查看页面是否有新增异常信息
结果：页面无异常信息"
