项目,主题,问题类型,优先级,描述
债券招标发行系统_内部,标书中添加承销团副主承销商参数显示错误,"",普通,"1.【场务端】登录
2.进入信息维护->承销团管理
3.在对应承销团操作栏点击“选择主承销商”和“选择副主承销商”
4.对承销团成员选择对应的承销商类型
5.完成后点击保存按钮
6.新建标书后保存
7.切换至承销团信息Tab页，添加该承销团，查看承销商类型、参数与设置时是否一致

预期结果：
承销商类型、参数与设置时保持一致

实际结果：
副主承销商参数显示全为0"
新基金业务管理系统_内部,【信息披露】新建发行变更公告，在上传公告正文时上传两次，点击提交后没有弹出提交成功提示，但是流程已经提交,优化,普通,"新建发行变更公告，在上传公告正文时上传一次没有提示上传成功之前再次点击上传附件，点击提交后没有弹出提交成功提示，但是流程已经提交
测试：严强"
EZEI重构,上线手册验证问题,文档,低,"操作手册页：
1、Crontab关闭时间改为16:45
环境检查页：
2、node_info.cfg检查项只有数据集群主机（11、12项）；
3、be_node_list.txt检查项只有数据集群主机（13项）；
4、存储网关权限检查不够（14项），不止se036，还有其他生产配置；"
债券招标发行系统_内部,承销团查看页面参数显示与参数设置时不一致,"",普通,"1.【场务端】登录
2.进入信息维护->承销团管理
3.在对应承销团操作栏点击“参数设置”
4.填写参数后点击保存
5.保存完成后查看对应承销团页面参数是否正确

预期结果：
查看对应承销团信息，参数与设置时保持一致；
再次打开参数设置，显示上一次设置的值

实际结果：
查看页面参数与设置时不一致，均显示主承销商的参数值"
债券招标发行系统_内部,承销团参数设置中必填项有误,"",普通,"1.【场务端】登录
2.进入信息维护->承销团管理
3.在对应承销团操作栏点击“参数设置”
4.将默认值清空后点击保存

预期结果：
提示错误，必填项有：
1）主承销商最高投标比例（%）
2）主承销商最低投标比例（%）
3）主承销商最低承销比例（%）
4）其他承销商最高投标比例（%）
5）其他承销商最低投标比例（%）
6）其他承销商最低承销比例（%）
副主承销商字段为非必填

实际结果：
所有字段都为必填项"
债券招标发行系统_内部,承销团查看页面承销商类型为副主承销商时显示错误,"",普通,"1.【场务端】登录
2.进入信息维护->承销团管理
3.在对应承销团操作栏点击“选择副主承销商”
4.对承销团成员选择对应的承销商类型
5.完成后点击保存按钮
6.保存后返回查看对应承销团信息

实际结果：
保存完成页面显示副主承销商、查看页面显示为一般承销商，查看页面显示有误"
新基金业务管理系统_内部,【ETF上市】业务页面有些字段未设置长度限制,优化,普通,""
ERP系统_内部,20150523子公司常规采购，拟稿人只能填写申请物品信息；采购执行只能填写采购物品信息；采购管理员审核节点只进行意见填写，不进行信息修改,需求变更,高,"子公司常规采购流程需求变更：

1.拟稿人节点 只能填写申请物品信息；
2.采购执行节点 只能填写采购物品信息；
3.采购管理员审核节点 只进行意见填写，不进行信息修改；"
新基金业务管理系统_内部,【基金代码申请】基金类型为上证基金通，初审时设置“设置分红方式代码”为空，提交时提示：设置分红方式代码不能为空!需规上此处是非必填项,优化,普通,"基金代码申请，基金类型为上证基金通，初审时设置“设置分红方式代码”为空，提交时会提示：设置分红方式代码不能为空!
但是需规上此处要求是非必填项
测试：田进"
新基金业务管理系统_内部,"【ftp】上传后关闭,加日志信息",缺陷,普通,""
EZEI重构,wo主题不落dump文件,其他,普通,"Ezei环境583-28，版本E010102
配合期权上游全真环境测试，发现wo主题数据5条，但是对应dump文件0字节。
内存数据是有的，也可以用showall工具落地文件。
截图如下附件"
新基金业务管理系统_内部,【基金代码申请】基金类型为实时申赎货币市场基金时，初审时基金代码申请函和证监会核准募集批文点击，无法打开或者保存 ,缺陷,普通,"基金代码申请-基金类型为实时申赎货币市场基金时，基金代码申请函和证监会核准募集批文点击，无法打开或者保存。
测试：田进"
EZEI重构,EzEI E010103指令中心版本 日志出现乱码,其他,低,"EzEI E010103指令中心版本 启动EzEI环境时，router进程启动失败，查看日志时，发现日志存在乱码。
日志目录 ~/EzEI/logs/20170523/E14-router-99-P01.log"
ERP系统_内部,20170523 常规用款单的“价税合计”展示项缺失,缺陷,紧急,"前置条件：用具有常规用款权限的账号登陆系统

操作步骤：1、首页—>办公管理—>常规采购—>新建
         2、输入必填项，发送
         3、查看表单的查看单展示

预期结果：查看单与审核单一致

实际结果：查看单中：“价税合计”项和“税”字段缺失。"
ERP系统_内部,20170523 常规用款单的审核单和查看单展示不对应,缺陷,高,"前置条件：创建物资申领单审核中，自动生成常规采购单、常规用款单和资产完成单

操作步骤：1、查看生成的常规采购单的审核单和查看单

预期结果：审核单和查看单展示一样

实际结果：审核单的“价税合计、税、价”展示与查看单不一样

"
ERP系统_内部,技术公司总办会默认授权问题,缺陷,紧急,杜建新原有两个账号，关闭其中一个后，新帐号即使添加了默认授权也无法查看全部议题。已确认后台数据库未存储ID，以名字判断人。
新基金业务管理系统_内部,【基金模块】连续停牌业务结束，未更新停牌终止日字段值至另一表中,缺陷,普通,"基金连续停牌业务结束，
停牌终止日字段值未更新至另一基金模块表中"
新基金业务管理系统_内部,【用户登出】系统应用报错空指针异常,缺陷,普通,""
ERP系统_内部,20150523子公司常规采购，流转到采购管理员节点，新增采购物品，光标移至单位，弹出错误提示框,缺陷,普通,"1.新建子公司采购单，流转到采购管理员节点
2.新增采购物品，输入采购人、物品名称、所需数量
3.光标移至单位输入框，弹出错误提示框 如图"
ERP系统_内部,[20170523]资产分配>选择资产>已选择区域，鼠标放至已选择数据上，会显示undefined,缺陷,普通,""
新基金业务管理系统_内部,【ezman】上传到存储网关是0kb,缺陷,高,""
ERP系统_内部,[20170523]资产分配>资产分配列表数据，未按未审核>审核中>已办结状态排序,优化,普通,""
EZEI重构,数据集群的代码评审的后续版本待修复内容【具体时间待定】,优化,低,"1、config_manage.c部分函数注释与函数注释不一致
2、config_manage.c中的使用错误捕捉机制
3、config_manage.c规范使用统一的错误码
4、去除conf/bcast_shr_mem.ini,将此部分功能添加到cmn_shr_mem.ini中
5、收费流水中对于架构调整以及内存创建的优化方案设计与开发"
ERP系统_内部,20170523子公司采购流程，技术人员拟稿，已办文件里查看申请部门有误,缺陷,普通,"1.技术人员拟稿，比如：张皎妮，让单子流转出去
2.去已办里面查看，申请部门有误，如图"
ERP系统_内部,20170522子公司常规采购，技术人员拟稿，到了采购管理员审批节点，没有发送到综合管理部负责人审批的选项,缺陷,高,"1.子公司常规采购，技术人员拟稿，单子流转到——采购管理员审批节点
2.没有发送到综合管理部负责人审批的选项 如图
注：显示了服务公司总经理审批是错的"
新基金业务管理系统_内部,【基金汇总传真】汇总发送通知单不要发生交易管理部（紧急）的传真,需求变更,低,【基金汇总传真】汇总发送通知单不要发生交易管理部（紧急）的传真
网下IPO_内部,v2.1.0.1-输入错误密码登陆提示信息不准确,其他,普通,"ipo_dealer.use_cert=Y，ipo_dealer.status=2已开通,ipo_dealer_ca.status=1可用，输入错误密码，登录，提示证书未开通。"
网下IPO_内部,v2.1.0.1-T-1日发送中登上海分公司的有效申购帐户关系数据失败,缺陷,高,T-1日15:30，Register-valSubAccReCreateJob执行失败，wxzhgxYYYYMMDD.txt文件没生成。
ERP系统_内部,20170522子公司常规采购，一级所领导已办文件里查看详情单，点击打印无反应,缺陷,高,"1.创建一个子公司常规采购单，流转到一级所领导，发送出去
2.在已办文件里，点击查看详情单，点击“打印”无反应"
异常交易调查与追踪系统,20170522来函登记，反馈单位字段选择非默认值后，点击保存，保存不成功（如选择地方证监局-浙江局，点击保存后显示为北京局）,缺陷,普通,线上bug:来函登记，反馈单位字段选择非默认值后，点击保存，保存不成功（如选择地方证监局-浙江局，点击保存后显示为北京局）
ERP系统_内部,20170522子公司常规采购页，有一条数据，查询页没有显示出来,缺陷,普通,1.子公司常规采购页，有一条数据，但是，查询页没有显示出来，如图
ERP系统_内部,20170522子公司常规采购拟稿页，采购物品的单价，输入非负数以外的字符，点击保存时，没有给出对应的错误提示，且保留了3位小数,缺陷,低,"1.子公司常规采购拟稿页，采购物品的单价
2.输入非负数以外的字符，鼠标失去焦点，有给出错误提示
3.但是点击保存时，没有给出明确的错误提示，且保留了3位小数

期望：
输入非负数以外的字符，点击保存时，给出对应的提示，
且保留两个小数即可，特殊情况有3位小数时，就四舍五入"
ERP系统_内部,20170522子公司常规采购拟稿页，申请物品的所需数量，没有校验纯数字及长度,缺陷,普通,"子公司常规采购拟稿页，申请物品的所需数量，没有校验纯数字及长度
期望：只能输入最大长度为50的纯数字
实际结果：输入数字以外的字符，也能保存成功，且50+的数字字符，也能保存成功"
期权交易系统,期权-结算价优化-产生结算价的方式1赋值错误,缺陷,低,"场景：最优买（买一价）为涨停价，取涨停价
合约：
认购10000670、10000671
认沽10000675、10000676

预期结果：产生结算价的方式1赋值RA004

实际测试结果：
认购赋值为RA009，错误
认沽赋值为RA004，正确

详细数据参看附件

"
ERP系统_内部,20170522子公司常规采购查询页，导出的数据，显示有误,缺陷,高,"1.用肖卓骏登录，首页——链接——子公司常规采购
2.点击导出，excel上有些列，显示有误，或者为空 如图

注：
物品名称 显示 采购物品名称；
所需数量 显示 采购物品所需数量；
供货方 显示 实际填写的值；
使用部门 显示 实际填写的部门；"
新基金业务管理系统_内部,【lof暂停申赎转托管】完成时保存到基金模块，传参数的枚举类型错误。。,缺陷,紧急,预测功能检测到，用户一共提了3个lof暂停申赎及转托管流程，但是预测时，只有公告，原因是因为传参数的类型错误导致。
交易参与人系统_内部,【OMSv1.6】批处理成功后，数据库正常展示数据，但是相应的早间、午间停复牌都没有最新的数据（见附件）,缺陷,普通,"测试步骤：批处理成功后，数据库正常展示数据，但是相应的早间、午间停复牌都没有最新的数据（见附件）
预期结果：数据库和运行组里的全真标的里的早间、午间停复牌等数据比对一致
实际结果：只有数据库中有相关数据，系统页面没有正常展示出来数据
"
新基金业务管理系统_内部,【基金代码申请】基金类型为ETF时，基金托管人输入位数较多，约超过25位时，查看和审核时显示不完全,优化,普通,"基金代码申请-基金类型为ETF时，基金托管人，输入位数较多，超过25位长度，其他栏位正常，提交后查看和审核时显示不完全。
测试：田进"
ERP系统_内部,[20170522]流程流转过程中显示节点信息，当该节点需要管理员审核时，管理员登录时，显示的流转信息有误,缺陷,普通,当使用管理员账号administrstor登录审核时，显示的信息有误，显示为：该审单正在 常规付款/信息登记 节点 由 null：管理员 审批
ERP系统_内部,[20170522]在资产登记单查看单和审核单页面，在验收情况一栏，会显示字符数量控制的提示：请控制在500个英文字符或者250个中文字符以内,优化,普通,"
登录账号：yfdong   已办文件>常用文件类型>文件编号常规[20170522]9071>关联文件（常规用款单和相关资产完成单的关联提示功能 (物资申领) ）>物资申领单关联文件（笔记本登记单 (资产完成) ）>资产登记单>验收情况"
新基金业务管理系统_内部,【基金代码申请】基金类型为ETF时，基金托管人输入位数较多，会提交失败（需规上限制100个字符长度，尚未达到）,优化,普通,"基金代码申请-基金类型为ETF时，基金托管人输入位数较多，其他栏位正常，会提交失败（需规上限制100个字符长度，尚未达到）。删除一些长度则可以成功提交。
测试：田进"
ERP系统_内部,20170522 ERP需求工单中，表单发送到技术公司相关人员审批节点时，审核单的预计工作量等信息不显示,缺陷,高,"前置条件：创建ERP需求工地那发送到：技术公司相关人员审批节点

操作步骤：1、在技术公司相关人员节点打开表单
         2、查看表单展示

预期结果：预计工作量的信息在表单中有展示 

实际结果：预计上线版本、预计上线时间和预计工作量等信息不显示"
ERP系统_内部,20170522子公司常规采购查询页，一个单子有几条相同的数据，但关联错了,缺陷,高,"1.用肖卓骏登录，首页——链接——子公司常规采购查询页
2.一个单子，有几条相同的数据，但是关联错了

期望结果：该页面显示的条数，取决于采购物品的条数
实际结果：关联的是申请物品的条数 如图
"
新基金业务管理系统_内部,【restful全量签收单推送】因周末无签收单记录报异常,优化,普通,程序对集合判空处理不合理，应改正。。。。
新基金业务管理系统_内部,【业务事项和通知单汇总】生产环境访问该页面报异常url信息,优化,普通,"2017-05-22 10:01:38.653 [http-nio-64380-exec-23] INFO   =>  - REQUEST url=/fms/public/error, params=, headers=host=180.7.116.1, x-real-ip=172.25.51.110, x-forwarded-for=172.25.51.110, connection=close, accept=*/*, referer=http://180.7.116.1/fms/bussinessCollect/bussinessCollect, accept-language=zh-cn, user-agent=Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; InfoPath.2; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152), accept-encoding=gzip, deflate, cookie=SESSION=4bf957f2-6860-4ab8-9461-e6e2041f4484)"
ERP系统_内部,20170522 ERP需求工单-预计上线版本为7月，上线日期填写5.30，保存成功，没做校验,缺陷,低,"1.领导审批通过后送需求接收填写预计上线版本、上线日期、其他信息
2.预计上线版本2017-7，上线日期2017-05-30
3.保存

预期结果：保存失败

实际结果：保存成功"
ERP系统_内部,20170522子公司采购流程，采购管理员审批节点，继续往下流转时 无法发送到服务公司总经理审批、送相关人员两个节点,缺陷,高,"前置条件：
用服务公司人员登录

测试步骤：
采购管理员审批节点，继续往下流转，弹出要发送的环节

预期结果：
配置节点应该有：服务公司总经理审批、送相关人员、所领导批示、采购执行、办结、领用人确认

实际结果：
配置节点仅有所领导批示、采购执行、办结、领用人确认，缺少服务公司总经理审批、送相关人员节点"
ERP系统_内部,20170522 ERP需求工单-工单查询-表单详情页面信息显示不完整,缺陷,高,"1.表单：ERP需求[20170522]0105
2.工单统计，查询该表单
3.点击链接进入表单详情页查看表单信息

预期结果：表单信息展示正确
实际结果：表单信息缺失，展示不完整"
EZEI重构,多机自动化部署升级失败不能回退,优化,普通,多机自动化部署升级成功才能成功回退，升级失败则不能回退，原因是找不到回退脚本。
ERP系统_内部,20170522子公司常规采购拟稿页，申购理由和用途，超过50个汉字字符，点击保存时，没有给出对应的错误提示,优化,低,"1.子公司常规采购拟稿页，申购理由和用途
2.输入超过50个汉字字符，鼠标失去焦点，有给出错误提示
3.但是点击保存时，没有给出明确的错误提示"
ERP系统_内部,20170522子公司采购流程，一级部门负责人流转到所资产管理员审批时，所资产管理员的人员选择控件不正确,缺陷,高,"测试步骤：
1.新建子公司采购流程，从一级部门负责人流转到所级资产管理员节点，查看人员选择控件展示

预期结果：
发送给周功明

实际结果：
人员选择包括财务部、风控和服务公司的多个人"
ERP系统_内部,20170522 子公司常规采购页面，1.增加一列为“标题”；将“申请物品名称”改为“物品名称”，取的值为采购物品名称,需求变更,高,"1、用肖卓骏登录，首页——链接——子公司常规采购页面
2、新增一列为“标题”
3、将“申请物品名称”改为“物品名称”，取的值为采购物品名称

注：导出 也跟着变动"
ERP系统_内部,[20170522]子公司常规采购页面，很多必填项为空，没有做校验，且有处提示重复,缺陷,高,"1.用肖卓骏登录，首页——链接——子公司常规采购
2.进入拟稿页面，很多必填项为空，没有做校验，且有处提示，重复了。如图"
网下IPO_内部,v2.1.0.1-暂停恢复列表缺失已过T日的已暂停证券,缺陷,低,"1.证券051502和051503的定价发行开始日=20170519，状态=已暂停
2.系统当前时间20170519，场务 数据管理_证券暂停恢复页面，列表缺失证券051502和051503.请参加文件截图。"
ERP系统_内部,20170522 ERP需求工单-拟稿-->相关部门审批-->拟稿，拟稿发送缺失其他部门审批节点,缺陷,高,"1.拟稿人新建表单，发送至其他部门审批
2.其他部门人员审批通过返回给拟稿人
3.拟稿人发送给下个节点

预期结果：下个节点：部门负责人审批、分送相关部门秘书


实际结果：直接发送给部门负责人审批，没有分送相关部门秘书节点"
期权交易系统,期权-结算价-多个ETF标的停牌，只有一个标的有修正价的情况，系统不报错,优化,低,"场景：多个ETF标的停牌，标的修正价文件中只有一个标的的修正价；
期望结果：系统报错；
实际结果：系统不报错。"
ERP系统_内部,20170522 ERP需求工单-拟稿发送后页面，没有返回（打印）按钮,缺陷,低,"1.拟稿人新建表单，发送
2.查看发送后页面信息

预期结果：发送后页面信息展示正确
实际结果：没有返回按钮"
ERP系统_内部,子公司常规采购查询，按办结时间搜索，办结时间为空的，也显示出来了,缺陷,普通,"1、用肖卓骏登录，首页——链接——子公司常规采购
2、点击子公司常规采购查询，按办结时间搜索，其中办结时间为空的，也显示出来了，如图"
ERP系统_内部,子公司常规采购查询，申请部门为技术公司技术开发总部的数据有2条，却只能筛选出1条,缺陷,普通,"1.用肖卓骏登录，首页——链接——子公司常规采购
2.查询全部数据，其中，申请部门为技术公司技术开发总部的数据，有2条
3.按照申请部门搜索，却只显示1条 如图"
ERP系统_内部,子公司常规采购查询，按指定条件搜索并导出，文件打不开,缺陷,高,"1.用肖卓骏的账号登录，首页——链接——子公司常规采购
2.点击子公司常规采购查询，按指定条件搜索并导出，文件打不开 如图"
费用收付平台_内部,【管理端】会员管理 公告通知 业务通知页显示有5页信息，翻页至第2页以上，信息列表为空,缺陷,普通,【管理端】会员管理 公告通知 业务通知页显示有5页信息，翻页至第2页以上，信息列表为空
ERP系统_内部,子公司常规采购查询，导出的数据，序号显示有误,缺陷,普通,"1.用肖卓骏的账号登录，首页——链接——子公司常规采购
2.点击子公司常规采购查询页面的“导出”按钮—>打开excel,核对数据
3.序号本是最后一位的，往往会显示在倒数第3位 如图"
ERP系统_内部,子公司常规采购查询，切换每页显示的数量，其中有两条数据，会调换顺序,缺陷,普通,"1、用肖卓骏的账号登录，首页——链接——子公司常规采购
2、点击子公司常规采购查询，切换每页显示的数量，从10切换到20或30
3、其中有两条数据，会调换顺序 如图"
网下IPO_内部,v2.1.0.1-T-1日17：00发信息管理部文件没去除已暂停证券,缺陷,高,"1.证券051502和051503状态=已暂停
2.T-1发送信息管理部的se121bbzhYYYYMMDD.txt、se121pszhYYYYMMDD.txt、se121cxmxYYYYMMDD.txt、se121zhgxYYYYMMDD.txt文件包含051502和051503"
网下IPO_内部,v2.1.0.1-Use_cert=N的用户登陆提示证书未开通,其他,高,"承销商、申购交易员的dealer.Use_cert=N,登录失败，提示证书未开通。参见文件截图。"
EZEI重构,为解决EzEI不能重连DTP所修改的配置未合并到主干,其他,普通,为解决EzEI不能重连DTP而对配置文件ipc_rule.cfg所作的修改未合并到主干。
EZEI重构,指令集群版本首次部署_88演练环境配置问题,文档,低,指令集群版本首次部署，补丁包内的配置为00环境的配置，因此如果在88演练环境进行部署时，相关配置变更说明缺少。
交易参与人系统_内部,【OMSv1.6】业务组-日终数据发送，有办结流程，点击发送时弹出流程，数据汇总页面数据显示不正确,缺陷,低,"复现步骤：1.业务组查看辅助功能-日终数据发送有办结的流程
          2.确认后点击发送
          3.弹出汇总流程，数据的界面


实际现象：点击发送，弹出的汇总流程，数据页面数值始终是0
期望现象：点击发送，弹出的汇总流程，数据页面统计的数值正确"
网下IPO_内部,v2.1.0.1-Register_valSubAccReCreateJob执行失败,缺陷,高,Register_valSubAccReCreateJob执行失败，wxzhgxYYYYMMDD.txt没生成。请参见附件截图。
新基金业务管理系统_内部,【基本信息管理】基金管理人更名审核，页面中“更名公告日”为必填项，前面没有加*,优化,低,"基本信息管理-基金管理人更名审核，页面中“更名公告日”为必填项，但是前面没有加红色*
测试：田进"
行情监测平台,【业务通知单系统】【前台】中登回签时，多个组名以|为分隔符时，第一个组名不应可成功回签,"",高,"1、所内送审任务单到中登多个组，回签时，回签文件中，组名之间以|为分隔符时，再上传到FTP上
2、查看前端发送方，回签情况
异常结果：多个组名中，第一个组名成功回签
预期结果：以|为分隔符时，第一个组名也不应可成功回签"
期权交易系统,期权-结算价优化-选取非标合约参与抹平时的规则错误,缺陷,低,"场景：无标准合约，非标准合约有结算价且结算价不同，交易量有一个最大值

预期：无标准合约，若非标准合约存在结算价，且交易量最大的非标准合约有且只有一个，所有合约标准合约的结算价取交易量最大的非标准合约的结算价，如果交易量最大的非标准合约至少有两个，所有的合约的结算价取交易量最大的且合约编号最小的非标准合约的结算价

实际测试结果：
合约代码、交易编码、成交量、抹平标志
95100684|600009P1303A0088000|1|RC001
95100685|600009P1303B0088000|1|     
95100686|600009P1303C0088000|2|     
详细参看附件
"
网下IPO_内部,v2.1.0.1-https环境下未通过证书用户登陆的报错信息有误,缺陷,高,"Ngnix环境：196.123.44.2
未通过证书用户 710925892 USE_CERT = Y STATUS =1
登陆https://196.123.44.2/ipo
输入正确的用户名密码：710925892 /111111
弹出用户名/密码错误
log记录为：[INFO ][com.sse.modules.ipo.action.IPOLoginAction][10:29:52] 用户710925892验证不成功，用户名、密码、用户类型不匹配！"
ERP系统_内部,ERP需求工单，导出来的数据，与查询列表的数据，显示顺序不一致,缺陷,高,"1.ERP需求工单，条件搜索查询一批数据 如图一
2.再点击“导出”按钮，打开导出的excel
3.导出数据 显示的顺序 与查询列表的不一致 如图二"
ERP系统_内部,ERP需求工单查询列表，期望交付版本和预计上线版本，月份为个位数时，前面没有0填充,优化,低,"1、ERP需求工单查询列表，“期望交付版本”和“预计上线版本”这两个日期显示
2、当月份为个位数时，前面没有0填充

例如：2017-7 应该显示为 2017-07"
行情监测平台,【业务通知单系统】【前台】测试所司业务接口时，收件方代码为小写，中登新建任务单发送后，对方不应可接收到,"",高,"1、数据库中组编号都为大写（如：表t_db_sign_group_channel中ZD-ZQ）
2、建立中登发送任务单，在摘要文件中，收件方组名的大写改为小写（如：ZD-zq），复制黏贴到FTP中
3、查看前端的接收方，是否受到任务单
异常结果：接收方还是可收到任务
预期结果：不应可接收到任务单"
交易参与人系统_内部,【OMSv1.6】操作岗登录-当日汇总业务流程-字段显示个数都有问题,缺陷,普通,"测试步骤：操作岗登录-当日汇总业务流程-字段显示个数都有问题
预期结果：业务流程；发起人；流程状态；生效日期；首页上该栏位最多展示5条记录
实际结果：业务类型；发起人；流转状态；生效日期；超过了5条记录"
交易参与人系统_内部,【OMSv1.6】查看做市商评级管理初审待办事项，初始审核状态为待修改不合理，建议改为和合约品种页一致为初审中,缺陷,高,"复现步骤：1.135网关/vol/incoming/mp053/se003路径上存放评级周期文件
          2.业务初审登录系统，点击期权做市商-信息审核/评级审核
          3.进入评级管理审核列表，查看审核状态

实际现象：审核状态显示为待修改
期望现象：审核状态最好显示为初审中"
ERP系统_内部,ERP需求工单查询列表，查看全所需求，期望交付版本字段，显示为空,缺陷,高,"1.ERP需求工单查询列表，点击 查看全所需求 按钮
2.展示全所需求，搜索一条各字段都有值的工单，例如标题为“说什么”
3.“期望交付版”字段。显示为空 如图"
ERP系统_内部,ERP需求工单，从分送相关部门秘书节点，流转发送失败,缺陷,高,"1.创建一个ERP需求工单，流转至分送相关部门秘书节点
2.从该节点流转发送出去，发送失败，提示“预计上线版本请选择30个自然日之后的月份！”如图

期望：正常流转下去"
交易参与人系统_内部,【OMSv1.6】运行组-应急数据增加删除操作权限给到操作和复核岗了,缺陷,高,"复现步骤：1.运行组（应急，操作，复核，总复核）登录系统
          2.点击辅助功能-期权做市商及账户查询/期权经纪业务总持仓规模查询/期权经纪业务持仓限额查询，查看是否有新增删除权限

实际现象：运行组（应急岗，操作岗，复核岗，总复核岗）都有进入辅助功能-期权做市商及账户查询/期权经纪业务总持仓规模查询/期权经纪业务持仓限额查询，对全量数据进行应急增加删除的权限
期望现象：只有运行组（应急岗，总复核岗）才有权限进入辅助功能-期权做市商及账户查询/期权经纪业务总持仓规模查询/期权经纪业务持仓限额查询，对全量数据进行应急增加删除"
ERP系统_内部,ERP需求工单，从领导审批通过后需求接收节点，发送至下个节点，页面显示有误,缺陷,高,"1.创建ERP需求工单，从领导审批通过后需求接收节点，发送至下个节点，如 技术公司相关人员审批
2.从 技术公司相关人员审批 节点登录，审核页面信息展示有误 如图一

注：正确页面参考图二"
ERP系统_内部,[20170519]系统报错单，从技术服务>系统报错和非当前页面报错两个入口进入到创建单中，会默认存在一个为null的附件,缺陷,高,"1.从技术服务>系统维护或者技术服务>技术支持入口进入到报错单创建页面
2.从非当前页面报错入口进入到报错单页面
页面中会默认存在一个null附件"
EZEI重构,EzEI指令中心：关闭集群中某一主机，cgwRtHkx报错“change lststatus 3 state 0”,缺陷,低,"EzEI E010100测试版本，集群切换过程中出现的问题：
介绍：集群中有2台主机，分别为RST586，RST587。
RST586在11:03执行menu->b->3->1关闭本地EzEI

RST586在16:09显示报错（logs/E18-cgwRtHkx-103-P05.log）：
[ERROR] [20170519 11:03:08.979]: change lststatus 3 state 0

"
新基金业务管理系统_内部,【业务流程查询】上证基金通更名点击查看报404,缺陷,低,【业务流程查询】上证基金通更名点击查看报404
ERP系统_内部,ERP需求工单，处理完后，没有在 已办文件 里显示,缺陷,高,"1、ERP需求工单，流转至 领导审批通过后送需求接收 节点
2、该节点处理完之后，去首页的已办文件里查看，没有显示该类型的文件

注：处理完后的单子，都要在已办里查看得到

期望：在已办文件里加上需求工单这种类型"
异常交易调查与追踪系统,[20170519]函件处理>电子函件>导出，导出的数据中来函事项字段显示为LETTERMATTER，来函类型显示为数字类型字符串,缺陷,高,"来函事项大类显示为LETTERMATTER1
来函事项小类显示为LETTERMATTER2
来函事项大类下的来函类型显示为数字类型字符串"
ERP系统_内部,ERP需求工单，办公室经办人审批节点，发送后，去查看单，选择打印，没有预览页面,缺陷,高,"１、新建一个ＥＲＰ需求工单，流转至办公室经办人审批节点，发送至下个节点，发送成功
２、去已办文件里，查看刚发送的需求工单详情
３、点击“普通打印”，没有预览页面　如图"
新基金业务管理系统_内部,【LOF上市】LOF上市首日开盘参考价通知内容修改（上线后修改）,需求变更,普通,"【环境】
http://196.123.134.39/fms
【步骤】

【预期结果】
1、LOF上市首日开盘参考价通知：说明文字改为“本通知送达交易管理部（竞价撮合平台操作组）、通信公司、信息公司、信息管理部。”
发送部门中的信息中心，变更为信息管理部


【发现问题】

测试人员：廖丹"
新基金业务管理系统_内部,lofb接口文件中分级lof部分字段信息没有取表中最新值,优化,高,""
新基金业务管理系统_内部,【集合申购及上市】场外货币市场基金(货币 ETF)增设场内份额并上市通知内容修改（上线后修改）,需求变更,普通,"【环境】
http://196.123.134.39/fms
【步骤】

【预期结果】
1、场外货币市场基金(货币 ETF)增设场内份额并上市通知，在上市首日涨跌幅限制内容项下面增加“基金产品全称”和“基金管理人全称”2个内容项，根据数据库所存信息取值

【发现问题】

测试人员：廖丹"
新基金业务管理系统_内部,【需求变更】关于替换场外货币市场基金和LOF上市首日开盘参考价通知单模版需求,"",普通,替换场外货币市场基金和LOF上市首日开盘参考价通知单需求
ERP系统_内部,20170519 专票信息-增值税管理列表-列表无数据展示，无法手动抛帐,缺陷,高,"前置条件：
新建表单：“差旅报销单”、“领导出差报销单、“领导用款报销单”、“出国（境）费用报销单”、“常规用款单”、“合同付款”
流转至出纳节点
调用增值税接口失败

1.增值税管理员进入增值税管理列表
2.查询出表单，手动抛帐

预期结果：正确查询出表单，手动抛帐操作，数据库入账记录正确
实际结果：列表无数据"
ERP系统_内部,ERP需求工单，流转至需求接收节点，没有填写意见的入口,其他,立刻,"1.新建一个ERP需求工单，流转至需求接收节点
2.页面上没有【填写意见】的按钮，如图

补充：需求接收节点，必须要有【填写意见】的按钮"
EZEI重构,showall工具增加中登出入金消息流水解析,缺陷,普通,""
ERP系统_内部,ERP需求工单，部门负责人审批节点，填写完意见发送，选择“拟稿”，页面提示错误信息,缺陷,立刻,"1、新建一个ERP需求工单，发送至部门负责人审批节点
2、部门负责人审批，填写完意见，选择发送至“拟稿”节点
3、页面提示错误，如图"
网下IPO_内部,v2.1.0.1-取消暂停中的记录没判断,缺陷,高,"重现步骤：
1.操作暂停
2.SecuritiesPauseRecoveryJob执行成功
预期结果：证券暂停恢复页面，该证券的操作列=恢复
实际结果：该证券的操作列=暂停。参见文件截图"
ERP系统_内部,ERP需求工单拟稿页面，备注没有校验长度,缺陷,高,"1、首页——技术服务——ERP需求专用工单
2、拟稿页面，备注字段，没有校验长度，输入500+的汉字字符，也能保存成功"
ERP系统_内部,新建ERP需求工单，保存之后，没有删除按钮,缺陷,高,"1、首页——技术服务——ERP需求专用工单
2、新建一个需求工单，填写完必填项
3、点击保存，保存成功后，页面没有删除按钮 如图"
